grouping,grid,sigma,augmentation,method,n_groups,total_ref_objects_in_compared_groups,total_method_objects_in_compared_groups,coverage_ref_weight,median_method_objects_per_group,weighted_tv_distance,mean_tv_distance,median_tv_distance,weighted_l1_percent_points,mean_l1_percent_points,median_l1_percent_points,weighted_js_divergence,mean_js_divergence,median_js_divergence,weighted_js_distance,mean_js_distance,median_js_distance,weighted_hellinger_distance,mean_hellinger_distance,median_hellinger_distance,weighted_cosine_distance,mean_cosine_distance,median_cosine_distance,weighted_sliced_wasserstein,mean_sliced_wasserstein,median_sliced_wasserstein,weighted_centroid_shift,mean_centroid_shift,median_centroid_shift,weighted_max_abs_diff_pp,mean_max_abs_diff_pp,median_max_abs_diff_pp,weighted_mean_abs_diff_pp,mean_mean_abs_diff_pp,median_mean_abs_diff_pp
class,32,1.25,rot90_flip,infinigen,7,39219,7438,0.7011029871824667,450.0,0.39435522320769983,0.36086939516768923,0.38824363248037336,78.87104464153997,72.17387903353784,77.64872649607467,0.1745641332680263,0.1568403899548379,0.19564982638235456,0.4090935956997439,0.38253927578909647,0.4423232148354352,0.35486986469020254,0.3334259656213377,0.38351212764234754,0.2984580427425726,0.2572150604634951,0.24366254327196346,0.05140084166212762,0.04175836764714582,0.04143113110461538,1.3041688677617782e-05,1.5058281323264943e-05,9.061382036340316e-06,0.41644633961492766,0.38881114375366416,0.4777216960299322,0.07702250453275387,0.0704823037436893,0.07582883446882292
class,32,1.25,rot90_flip,cube,9,55939,7477,1.0,1083.0,0.41004602731833384,0.42884154006650316,0.45884467020976016,82.00920546366677,85.76830801330065,91.76893404195204,0.2092159349638388,0.22382235001250997,0.21216709333342176,0.4215334889507341,0.44257555133128623,0.46061599335392356,0.36733606392327,0.3892127301048505,0.39376118767703383,0.3436546684371384,0.35115990098254923,0.2985817044092144,0.061273783264231954,0.0584442362854042,0.05105011011490976,1.3603809659233769e-05,4.908972474557991e-05,3.3857889151770464e-06,0.45899702679337767,0.5360581608857697,0.49908363332521544,0.08008711471061208,0.08375811329423892,0.08961809965034379
class,32,1.25,rot90_flip,retrieval,9,55939,3633,1.0,336.0,0.4657127876412405,0.5051743204075602,0.5295190579588894,93.14255752824809,101.03486408151201,105.9038115917779,0.26856858215855256,0.3082837578077983,0.31744394520020064,0.5011492787403937,0.5381083690220196,0.5634216406921202,0.45459490418383974,0.4897958184074048,0.5035501258049405,0.36402496103207094,0.4117730889670331,0.45251042985614565,0.04900125545573777,0.049051319803304336,0.04164350769399386,8.260617853472322e-06,1.3367842266625188e-05,3.385788915226697e-06,0.7077997442249725,0.7554797565926069,0.6841291780402928,0.09095952883617978,0.09866685945460157,0.1034216910075956
class,32,1.25,rot90_flip,ollama_llm,6,35796,1085,0.6399113319866283,155.5,0.5482618745918842,0.5165496851380723,0.54186268632724,109.65237491837684,103.30993702761448,108.37253726544802,0.3243412919563665,0.2928656624418806,0.2973325418200318,0.5547860632362457,0.5280529607696147,0.5430747571891005,0.4853326683073953,0.4603257644074539,0.4721657734573925,0.551369012879799,0.522485112244294,0.5663073681380064,0.07579184048671066,0.06892790981482705,0.06797565218488001,0.0024423093184690312,0.0024457260362479713,0.002269584387989796,0.6245350016982762,0.6408772516487842,0.6182805899344539,0.10708239738122738,0.10088861037852977,0.10583255592328908
class,32,1.25,rot90_flip,random,3,24010,171,0.42921754053522587,58.0,0.5882395222863566,0.576042729056893,0.579538491103709,117.64790445727132,115.20854581137864,115.90769822074182,0.36724740177304316,0.359063293086928,0.33649590320236944,0.5982971809500001,0.5893325326554635,0.5800826692828958,0.5315446127310519,0.5256591788257767,0.5039894288849175,0.5783228913295075,0.5583871579604037,0.5645230446432223,0.08618925923921511,0.08131177266358848,0.09543206313088733,1.3389174055735672e-05,1.985953216679623e-05,8.474762795050764e-07,0.5434259876125755,0.5498425503209968,0.5036229903567248,0.11489053169655403,0.11250834551892445,0.11319111154369318
class,32,1.25,rot90_flip,relaxed,9,55939,1354,1.0,134.0,0.6549397668755242,0.639589407091657,0.6489157178033653,130.98795337510484,127.91788141833139,129.78314356067307,0.4449034479682336,0.4233801943617701,0.4322484287387708,0.6621116057780801,0.6455950442157455,0.6574560279887703,0.5961012168690095,0.5825669374887712,0.5840627730382602,0.5876758431578947,0.5450615584091602,0.5861990444669813,0.08775306638027675,0.08565823497518504,0.08251273487280836,0.001057541439918556,0.0007380911389428318,0.00047396124384799,1.0834431955083406,1.0100981437377305,0.9330237266211946,0.12791792321787582,0.12491980607258925,0.1267413511334698
class,32,1.25,rot90_flip,diffuscene,5,40997,2739,0.7328876097177283,674.0,0.7351152127179877,0.7335172066380689,0.7348602316304268,147.02304254359754,146.70344132761377,146.97204632608535,0.5636875844891025,0.5648146511548939,0.5334000129567319,0.7451095035342493,0.7448351475790717,0.730342394330722,0.6892540416390728,0.6905504543614621,0.6702236708947337,0.6899263238338283,0.7067402068645049,0.7654217884679088,0.08747655119812567,0.1035247334612458,0.07224234479043967,9.646960897129901e-06,1.5203938377708379e-05,3.3857889151770464e-06,1.464616027962629,1.4618411987219648,1.1340980686154136,0.14357718998398197,0.14326507942149783,0.14352738899031772
