grouping,group_key,room_type,class_name,grid,sigma,augmentation,method_a,method_b,n_a,n_b,n_a_augmented,n_b_augmented,tv_distance,l1_percent_points,js_divergence,js_distance,hellinger_distance,cosine_distance,pearson_corr,sliced_wasserstein,centroid_a_x,centroid_a_y,centroid_b_x,centroid_b_y,centroid_shift,max_abs_diff_pp,mean_abs_diff_pp,positive_mass_pp,negative_mass_pp
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,cube,7290,1085,43740,6510,0.6945844371364935,138.91688742729872,0.4914979127775949,0.7010691212552403,0.6275595158690829,0.7697987461745579,-0.12255663047307457,0.09823937693254277,0.49999999999999994,0.5,0.5,0.5,5.551115123125783e-17,0.6938755834882311,0.1356610228782214,69.45844371364936,-69.45844371364934
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,infinigen,7290,450,43740,2700,0.5016457643668835,100.3291528733767,0.2421197456728017,0.49205664884523376,0.4211076966992079,0.409058687361743,0.29565073506740625,0.06695057709235408,0.49999999999999994,0.5,0.5000463530734649,0.5000231765367324,5.182431161682849e-05,0.48038984028919657,0.09797768835290693,50.16457643668835,-50.16457643668836
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,ollama_llm,7290,235,43740,1410,0.6501509919902925,130.03019839805853,0.4287319126172952,0.6547762309501585,0.5773541649993905,0.6512258069971811,0.10013048241459849,0.07135146433107147,0.49999999999999994,0.5,0.5043665329237484,0.5027484775763696,0.005159528928302117,0.8949136167434709,0.12698261562310403,65.01509919902925,-65.01509919902925
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,random,7290,60,43740,360,0.7131017222066901,142.62034444133803,0.5277693317690079,0.726477344291622,0.6637399876116327,0.781110922550825,-0.12780745953634698,0.09693339823114923,0.49999999999999994,0.5,0.5,0.5,5.551115123125783e-17,0.6556647841310388,0.13927768011849417,71.31017222066903,-71.310172220669
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,relaxed,7290,91,43740,546,0.6660385013756531,133.20770027513066,0.43830317808389635,0.6620446949291992,0.5840627730382602,0.6600636829065603,0.10079598444128131,0.08251273487280836,0.49999999999999994,0.5,0.500114468999146,0.5002289379982918,0.0002559604634066976,0.9770206264920736,0.1300856447999323,66.60385013756533,-66.60385013756532
class,__all____bed,__all__,bed,32,1.25,rot90_flip,3dfront,retrieval,7290,168,43740,1008,0.3028586585515721,60.571731710314424,0.12039496595214823,0.3469797774397641,0.3071290297545029,0.18797428334100164,0.747813168070029,0.01786706523875832,0.49999999999999994,0.5,0.49999999999999994,0.5,0.0,0.6461971355026499,0.05915208174835393,30.285865855157212,-30.285865855157212
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,cube,3868,1151,23208,6906,0.3037834606445149,60.75669212890298,0.09148110985818836,0.3024584431920993,0.25452849778175096,0.17583064897704814,0.7474188471064821,0.03814789791783865,0.5000104846991029,0.5000077789531316,0.5000189036304352,0.5000094518152176,8.58352330553316e-06,0.4681261911891824,0.05933270715713182,30.37834606445149,-30.37834606445149
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,diffuscene,3868,674,23208,4044,0.7348602316304268,146.97204632608535,0.5334000129567319,0.730342394330722,0.6702236708947337,0.7654217884679088,-0.6598745464246403,0.12802525071179666,0.5000104846991029,0.5000077789531316,0.5,0.5,1.3055306472965671e-05,0.647401557420643,0.14352738899031772,73.48602316304266,-73.48602316304269
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,infinigen,3868,3950,23208,23700,0.2219209896775846,44.38419793551692,0.05915398202921775,0.24321591648002347,0.20594145249637302,0.11194107663088193,0.714387227812552,0.01461801181706366,0.5000104846991029,0.5000077789531316,0.5,0.5000000000000001,1.305530647289952e-05,0.18614853740553727,0.043343943296403245,22.19209896775846,-22.19209896775846
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,ollama_llm,3868,76,23208,456,0.48720854390562696,97.44170878112539,0.24409625629611797,0.4940609843896986,0.42645832383822874,0.4813889292788317,-0.2122741926412437,0.07152832739909133,0.5000104846991029,0.5000077789531316,0.5023339784461939,0.5030200800533895,0.0038042845728711505,0.612226418333056,0.09515791873156776,48.720854390562685,-48.72085439056269
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,relaxed,3868,174,23208,1044,0.49345279041065687,98.69055808213139,0.2506080928257378,0.500607723497888,0.44592632591360887,0.3016712471954466,0.6669306583191983,0.07624070271988659,0.5000104846991029,0.5000077789531316,0.5009600250487978,0.5003832575752956,0.001021083283283367,0.9330237266211946,0.09637749812708143,49.345279041065695,-49.34527904106568
class,__all____cabinet,__all__,cabinet,32,1.25,rot90_flip,3dfront,retrieval,3868,756,23208,4536,0.5295190579588894,105.9038115917779,0.31744394520020064,0.5634216406921202,0.5035501258049405,0.5177254882001618,-0.027608632103630498,0.0655756633968396,0.5000104846991029,0.5000077789531316,0.5,0.5000000000000001,1.305530647289952e-05,0.5757954834390003,0.1034216910075956,52.95190579588894,-52.95190579588895
class,__all____chair,__all__,chair,32,1.25,rot90_flip,3dfront,cube,13461,480,80766,2880,0.23701531071423393,47.40306214284679,0.06772016783588583,0.26023098938421196,0.21932176555765867,0.14337987573367172,0.5310379317667596,0.043299037254848585,0.49999999999999994,0.5,0.5,0.5,5.551115123125783e-17,0.22302397292345566,0.04629205287387382,23.701531071423396,-23.701531071423396
class,__all____chair,__all__,chair,32,1.25,rot90_flip,3dfront,diffuscene,13461,46,80766,276,0.7164594877423391,143.2918975484678,0.5207620665775619,0.7216384597411378,0.6636683378298581,0.5993098209337779,0.22360378466966618,0.060949867303969035,0.49999999999999994,0.5,0.5,0.5000000000000001,1.2412670766236366e-16,1.7106755536427891,0.1399334936996756,71.64594877423389,-71.6459487742339
class,__all____chair,__all__,chair,32,1.25,rot90_flip,3dfront,infinigen,13461,109,80766,654,0.428500918363725,85.700183672745,0.19564982638235456,0.4423232148354352,0.38351212764234754,0.3470007676184763,0.18349736414831017,0.06525988030179,0.49999999999999994,0.5,0.49999999999999994,0.5,0.0,0.4777216960299322,0.08369158561791504,42.8500918363725,-42.8500918363725
class,__all____chair,__all__,chair,32,1.25,rot90_flip,3dfront,relaxed,13461,333,80766,1998,0.7593456510057248,151.86913020114497,0.5868688037186713,0.7660736281315729,0.695883284774315,0.7719924702553509,-0.3576646019624219,0.12906309572127883,0.49999999999999994,0.5,0.5010188007021087,0.5005811902955213,0.0011729181685971922,1.5507239146811145,0.14830969746205563,75.93456510057248,-75.93456510057248
class,__all____chair,__all__,chair,32,1.25,rot90_flip,3dfront,retrieval,13461,504,80766,3024,0.5757815273958862,115.15630547917723,0.3593153026406616,0.5994291473065533,0.5491270107154955,0.45251042985614565,0.11801410846158933,0.06967916018126429,0.49999999999999994,0.5,0.5,0.49999999999999994,7.850462293418876e-17,0.6092591278260002,0.11245732956950902,57.57815273958862,-57.57815273958862
class,__all____decor,__all__,decor,32,1.25,rot90_flip,3dfront,cube,970,204,5820,1224,0.38846882095833035,77.69376419166608,0.17700880338118746,0.42072414166670713,0.3721334049640846,0.2762216503055672,0.4699669653996134,0.03646388702219483,0.5000314812566488,0.5000158129252917,0.5003545756902581,0.500177287845129,0.00036119823195276843,0.49908363332521544,0.0758728165934239,38.84688209583304,-38.84688209583304
class,__all____decor,__all__,decor,32,1.25,rot90_flip,3dfront,infinigen,970,2262,5820,13572,0.2253015986713124,45.06031973426248,0.06039870349815518,0.24576147683914007,0.20769946689495178,0.13101644274778967,0.5777028175110069,0.01736874769714694,0.5000314812566488,0.5000158129252917,0.5000063936708834,0.5000031968354417,2.808118022160922e-05,0.2330873868633955,0.0440042184904907,22.53015986713124,-22.530159867131236
class,__all____decor,__all__,decor,32,1.25,rot90_flip,3dfront,ollama_llm,970,49,5820,294,0.4270730359166333,85.41460718332667,0.21511896480038156,0.4638091900775378,0.4004291786281021,0.459975027573314,-0.06725559005776874,0.06086279156095996,0.5000314812566488,0.5000158129252917,0.5003697968792236,0.5001848984396118,0.00037821603830489583,0.6243347615358517,0.08341270232746745,42.707303591663326,-42.70730359166333
class,__all____decor,__all__,decor,32,1.25,rot90_flip,3dfront,relaxed,970,92,5820,552,0.549876077481936,109.9752154963872,0.32944029760310156,0.5739688995085898,0.5250610935508244,0.34620816592811887,0.5541392734378986,0.07579542610388923,0.5000314812566488,0.5000158129252917,0.5,0.49999999999999994,3.5229506474952646e-05,0.6729900507544306,0.10739767138319062,54.9876077481936,-54.9876077481936
