method,n_groups,coverage_ref_weight,weighted_tv_distance,weighted_js_distance,weighted_sliced_wasserstein,weighted_centroid_shift,weighted_max_abs_diff_pp,total_ref_objects_in_compared_groups,total_method_objects_in_compared_groups
infinigen,7,0.7011029871824667,0.39435522320769983,0.4090935956997439,0.05140084166212762,1.3041688677617782e-05,0.41644633961492766,39219,7438
diffuscene,5,0.7328876097177283,0.7351152127179877,0.7451095035342493,0.08747655119812567,9.646960897129901e-06,1.464616027962629,40997,2739
retrieval,9,1.0,0.4657127876412405,0.5011492787403937,0.04900125545573777,8.260617853472322e-06,0.7077997442249725,55939,3633
random,3,0.42921754053522587,0.5882395222863566,0.5982971809500001,0.08618925923921511,1.3389174055735672e-05,0.5434259876125755,24010,171
ollama_llm,6,0.6399113319866283,0.5482618745918842,0.5547860632362457,0.07579184048671066,0.0024423093184690312,0.6245350016982762,35796,1085
cube,9,1.0,0.41004602731833384,0.4215334889507341,0.061273783264231954,1.3603809659233769e-05,0.45899702679337767,55939,7477
relaxed,9,1.0,0.6549397668755242,0.6621116057780801,0.08775306638027675,0.001057541439918556,1.0834431955083406,55939,1354
