grouping,group_key,room_type,class_name,grid,sigma,augmentation,method_a,method_b,n_a,n_b,n_a_augmented,n_b_augmented,tv_distance,l1_percent_points,js_divergence,js_distance,hellinger_distance,cosine_distance,pearson_corr,sliced_wasserstein,centroid_a_x,centroid_a_y,centroid_b_x,centroid_b_y,centroid_shift,max_abs_diff_pp,mean_abs_diff_pp,positive_mass_pp,negative_mass_pp
room_class,bedroom__bed,bedroom,bed,20,1.25,rot90_flip,3dfront,infinigen,6300,434,37800,2604,0.46015639724276525,92.03127944855304,0.21287097141631273,0.4613794224023355,0.39561367358946475,0.31698390853333513,0.445504343754208,0.07001798989545388,0.5,0.5,0.5,0.5,0.0,0.9223227203772257,0.2300781986213826,46.01563972427651,-46.01563972427651
room_class,bedroom__bed,bedroom,bed,20,1.25,rot90_flip,3dfront,ollama_llm,6300,96,37800,576,0.5025354974255185,100.50709948510368,0.2567457978432843,0.5067008958382492,0.4396405502537915,0.4197011373015397,0.43999836828080857,0.04021920844190012,0.5,0.5,0.5158842699949062,0.5096331268084704,0.0185770601920527,2.351189589004166,0.2512677487127592,50.253549742551854,-50.25354974255184
room_class,bedroom__bed,bedroom,bed,20,1.25,rot90_flip,3dfront,relaxed,6300,61,37800,366,0.5073803370530148,101.47606741060295,0.2498923946011113,0.49989238301969685,0.428262539332615,0.4510096191223161,0.32791178019809314,0.06271827620922932,0.5,0.5,0.5,0.5,0.0,1.5132281729599073,0.2536901685265074,50.738033705301476,-50.73803370530147
room_class,bedroom__bed,bedroom,bed,20,1.25,rot90_flip,3dfront,retrieval,6300,168,37800,1008,0.21718394483618916,43.436788967237824,0.05602503258267193,0.23669607639898033,0.20292955165153942,0.09819567480765201,0.8522622300935153,0.016542889165238783,0.5,0.5,0.49999999999999994,0.5,5.551115123125783e-17,0.6940848470928009,0.10859197241809455,21.718394483618916,-21.718394483618912
room_class,bedroom__cabinet,bedroom,cabinet,20,1.25,rot90_flip,3dfront,diffuscene,1169,616,7014,3696,0.710705789005921,142.14115780118416,0.5115181172971696,0.7152049477577526,0.6440318446852479,0.7304386871662036,-0.75160871813249,0.12430895042913531,0.5000491105488558,0.500035584590006,0.5,0.5,6.06474158955836e-05,0.8608486552905662,0.3553528945029604,71.07057890059207,-71.07057890059208
room_class,bedroom__cabinet,bedroom,cabinet,20,1.25,rot90_flip,3dfront,infinigen,1169,2014,7014,12084,0.16853912412564662,33.70782482512932,0.034007214767004225,0.18441045189197988,0.15575406564507477,0.06583447381601659,0.813738105368873,0.014338350059728618,0.5000491105488558,0.500035584590006,0.5,0.5,6.06474158955836e-05,0.3550299899714434,0.08426956206282331,16.85391241256466,-16.85391241256466
room_class,bedroom__cabinet,bedroom,cabinet,20,1.25,rot90_flip,3dfront,ollama_llm,1169,62,7014,372,0.47088575767552365,94.17715153510474,0.2341014123920161,0.4838402757026497,0.4182294355603838,0.40235119605690084,-0.16222503581195083,0.0815585243088783,0.5000491105488558,0.500035584590006,0.5051144654666855,0.507013704224438,0.008622759075610748,0.8033721678816584,0.23544287883776185,47.08857576755237,-47.088575767552356
room_class,bedroom__cabinet,bedroom,cabinet,20,1.25,rot90_flip,3dfront,retrieval,1169,252,7014,1512,0.8222955483766181,164.45910967532365,0.7048215977578383,0.8395365374763853,0.7927156389199974,0.8991425100097495,-0.4399620076053184,0.19102761214370617,0.5000491105488558,0.500035584590006,0.5,0.5,6.06474158955836e-05,2.967521779440026,0.4111477741883091,82.22955483766181,-82.22955483766181
room_class,bedroom__decor,bedroom,decor,20,1.25,rot90_flip,3dfront,infinigen,220,944,1320,5664,0.21705263362674765,43.410526725349534,0.05865077933957267,0.24217922978565415,0.20521692578147716,0.1007381957352459,0.7137191406122747,0.027275019393579125,0.5000603689775474,0.5000301844887738,0.5000256632421872,0.5000128316210936,3.880219173725876e-05,0.3601285466596267,0.10852631681337384,21.705263362674764,-21.705263362674767
room_class,bedroom__nightstand,bedroom,nightstand,20,1.25,rot90_flip,3dfront,diffuscene,8806,1096,52836,6576,0.6200161889007578,124.00323778015155,0.4011894445115113,0.6333951724725342,0.5591513122708341,0.5883902042281093,0.07281123935578238,0.0680503305762809,0.5000019208556845,0.5000009600043418,0.49999999999999994,0.49999999999999994,2.14739258108856e-06,1.5857935578304627,0.31000809445037886,62.001618890075775,-62.00161889007578
