grouping,grid,sigma,augmentation,method,n_groups,total_ref_objects_in_compared_groups,total_method_objects_in_compared_groups,coverage_ref_weight,median_method_objects_per_group,weighted_tv_distance,mean_tv_distance,median_tv_distance,weighted_l1_percent_points,mean_l1_percent_points,median_l1_percent_points,weighted_js_divergence,mean_js_divergence,median_js_divergence,weighted_js_distance,mean_js_distance,median_js_distance,weighted_hellinger_distance,mean_hellinger_distance,median_hellinger_distance,weighted_cosine_distance,mean_cosine_distance,median_cosine_distance,weighted_sliced_wasserstein,mean_sliced_wasserstein,median_sliced_wasserstein,weighted_centroid_shift,mean_centroid_shift,median_centroid_shift,weighted_max_abs_diff_pp,mean_max_abs_diff_pp,median_max_abs_diff_pp,weighted_mean_abs_diff_pp,mean_mean_abs_diff_pp,median_mean_abs_diff_pp
class,32,1.25,rot90_flip,ollama_llm,6,35796,1085,0.6399113319866283,155.5,0.5482618745918842,0.5165496851380723,0.54186268632724,109.65237491837684,103.30993702761448,108.37253726544802,0.3243412919563665,0.2928656624418806,0.2973325418200318,0.5547860632362457,0.5280529607696147,0.5430747571891005,0.4853326683073953,0.4603257644074539,0.4721657734573925,0.551369012879799,0.522485112244294,0.5663073681380064,0.07579184048671066,0.06892790981482705,0.06797565218488001,0.0024423093184690312,0.0024457260362479713,0.002269584387989796,0.6245350016982762,0.6408772516487842,0.6182805899344539,0.10708239738122738,0.10088861037852977,0.10583255592328908
class,32,1.25,rot90_flip,random,3,24010,171,0.42921754053522587,58.0,0.5882395222863566,0.576042729056893,0.579538491103709,117.64790445727132,115.20854581137864,115.90769822074182,0.36724740177304316,0.359063293086928,0.33649590320236944,0.5982971809500001,0.5893325326554635,0.5800826692828958,0.5315446127310519,0.5256591788257767,0.5039894288849175,0.5783228913295075,0.5583871579604037,0.5645230446432223,0.08618925923921511,0.08131177266358848,0.09543206313088733,1.3389174055735672e-05,1.985953216679623e-05,8.474762795050764e-07,0.5434259876125755,0.5498425503209968,0.5036229903567248,0.11489053169655403,0.11250834551892445,0.11319111154369318
class,32,1.25,rot90_flip,relaxed,9,55939,1354,1.0,134.0,0.6549397668755242,0.639589407091657,0.6489157178033653,130.98795337510484,127.91788141833139,129.78314356067307,0.4449034479682336,0.4233801943617701,0.4322484287387708,0.6621116057780801,0.6455950442157455,0.6574560279887703,0.5961012168690095,0.5825669374887712,0.5840627730382602,0.5876758431578947,0.5450615584091602,0.5861990444669813,0.08775306638027675,0.08565823497518504,0.08251273487280836,0.001057541439918556,0.0007380911389428318,0.00047396124384799,1.0834431955083406,1.0100981437377305,0.9330237266211946,0.12791792321787582,0.12491980607258925,0.1267413511334698
class,32,1.25,rot90_flip,diffuscene,5,40997,2739,0.7328876097177283,674.0,0.7351152127179877,0.7335172066380689,0.7348602316304268,147.02304254359754,146.70344132761377,146.97204632608535,0.5636875844891025,0.5648146511548939,0.5334000129567319,0.7451095035342493,0.7448351475790717,0.730342394330722,0.6892540416390728,0.6905504543614621,0.6702236708947337,0.6899263238338283,0.7067402068645049,0.7654217884679088,0.08747655119812567,0.1035247334612458,0.07224234479043967,9.646960897129901e-06,1.5203938377708379e-05,3.3857889151770464e-06,1.464616027962629,1.4618411987219648,1.1340980686154136,0.14357718998398197,0.14326507942149783,0.14352738899031772
room_class,20,1.25,rot90_flip,cube,4,23427,270,0.4703933497982049,56.0,0.21054624593944404,0.28784198870651817,0.2662436825627772,42.109249187888814,57.568397741303635,53.24873651255544,0.07088920409745612,0.12901836132091765,0.10225002912844314,0.22648502055603362,0.3137631210943097,0.2928077533105226,0.19615302736948068,0.27740456263976554,0.2564377324372114,0.10347786539899907,0.17554142966283667,0.14386662698617564,0.0316934128793331,0.04396093998895488,0.04276414027769102,4.024559147066465e-06,5.398068414691884e-06,5.269924550822987e-06,0.3896167159365233,0.6363221263748284,0.4811258995588216,0.10527312296972202,0.1439209943532591,0.1331218412813886
room_class,20,1.25,rot90_flip,retrieval,9,47592,2625,0.9556050840310825,252.0,0.36819238972369095,0.39610632123661493,0.33344940991963035,73.6384779447382,79.221264247323,66.68988198392606,0.1822068658000413,0.21739493022283174,0.13139717407829365,0.39237654625437457,0.42314082593991,0.36248748127113806,0.34669358442800513,0.3781362505494865,0.3162790024481484,0.2692793331087423,0.3068427509169618,0.20369365099780024,0.046406470052776164,0.05541891184137977,0.02602225308788641,1.3495953417697746e-05,1.9184114450906548e-05,2.1473925810140883e-06,0.9218336083590947,1.0263249731059116,0.7792301916328481,0.18409619486184547,0.19805316061830747,0.16672470495981515
room_class,20,1.25,rot90_flip,infinigen,9,23489,6101,0.47163825472361104,434.0,0.39914418033969673,0.32444224495358437,0.2731592536413459,79.82883606793933,64.88844899071688,54.631850728269185,0.17725017145016106,0.12994627389934252,0.10001749152233372,0.41180440814353403,0.34509639796528097,0.316255421332716,0.35586578171062255,0.298064492179607,0.27641364969284704,0.2754049748085178,0.19581755806735593,0.1259419971496517,0.051010315735573374,0.03809161607889947,0.0330219074257853,7.400427831727259e-06,1.5552300608711042e-05,9.32219307127119e-06,0.7979073890856857,0.6312844892294569,0.6128665745670052,0.19957209016984837,0.16222112247679218,0.13657962682067296
room_class,20,1.25,rot90_flip,ollama_llm,4,21466,446,0.431018211754312,96.0,0.49013050785965834,0.4962988067706539,0.4867106275505211,98.02610157193165,99.2597613541308,97.34212551010421,0.26134439164704487,0.26358307738340914,0.24542360511765018,0.5091061169789162,0.5113925968880748,0.49527058577044947,0.44443275908771634,0.44582631391599437,0.42893499290708764,0.41852160305236263,0.4307439865021434,0.41102616667922026,0.06076515112598165,0.06419950883467228,0.06751015129395535,0.010611150222350641,0.011103798017612094,0.011356345899861557,1.6409824639984156,1.581619785687487,1.5859586929320617,0.24506525392982917,0.24814940338532698,0.24335531377526054
room_class,20,1.25,rot90_flip,relaxed,7,43724,573,0.8779390799751019,61.0,0.573452423046631,0.5853255554742027,0.5686678983568139,114.69048460932622,117.06511109484053,113.73357967136278,0.3521405077188674,0.3626178427511616,0.3454324176899054,0.587097148299038,0.5958407927779713,0.5877349893360998,0.5201803601359746,0.5299261224973456,0.5272813523291165,0.5052808209013333,0.5056997279068638,0.4882190228202691,0.08381938890293764,0.08604958053022313,0.08152266087931849,0.002762507927806133,0.001783628953365855,4.73703045213823e-05,1.3730433730833969,1.4229582343487845,1.5007090407016872,0.2867262115233155,0.29266277773710137,0.28433394917840693
room_class,20,1.25,rot90_flip,diffuscene,3,15166,2572,0.30451980804369216,860.0,0.695803913709906,0.717245380840558,0.710705789005921,139.1607827419812,143.4490761681116,142.14115780118416,0.5073006510837803,0.533021749193907,0.5115181172971696,0.7064700667379578,0.7256890633494727,0.7152049477577526,0.6364075912304462,0.6563103842590348,0.6440318446852479,0.7178659225151071,0.7511685861659263,0.7304386871662036,0.1136693830272486,0.12700690403801318,0.12430895042913531,3.613451588551691e-05,5.0354918799919833e-05,6.06474158955836e-05,2.5237614133450426,2.3120179268485486,1.5857935578304627,0.347901956854953,0.35862269042027894,0.3553528945029604
room_class,32,1.25,rot90_flip,cube,4,23427,270,0.4703933497982049,56.0,0.2596396463751271,0.3489364184953203,0.326092043935158,51.92792927502543,69.78728369906409,65.21840878703162,0.1018749237218063,0.17782491215588203,0.149595134329771,0.2800342189410333,0.3768708504245988,0.3567736478505381,0.24565334881924447,0.33938003719638465,0.3189283713271777,0.137425483869685,0.21555847802659137,0.1882523437682777,0.03315671397256497,0.04616623152054402,0.04421398854010748,1.8848378420319736e-06,3.2226335492914817e-06,2.051753125072841e-06,0.2898106919645147,0.49352443949583225,0.39089330048225385,0.05071086843264202,0.06815164423736728,0.06368985233108557
room_class,32,1.25,rot90_flip,infinigen,9,23489,6101,0.47163825472361104,434.0,0.489175109321719,0.4174885772873032,0.377514530398421,97.8350218643438,83.49771545746064,75.50290607968418,0.2649293090206038,0.20654971543904177,0.16200199068441085,0.5063923120727304,0.4423583069935013,0.40249470888995653,0.4465983527682958,0.3893662332805905,0.35500656890447263,0.38453761875984394,0.29410632501502465,0.23372155402077877,0.054347457043199224,0.041273316221421455,0.03739368540768869,5.263921123021304e-06,1.6391128791221583e-05,4.821936904439006e-06,0.5687723503758727,0.4633530122284242,0.45249161209336075,0.09554201353939824,0.08154073775142641,0.07373330671844158
room_class,32,1.25,rot90_flip,retrieval,9,47592,2625,0.9556050840310825,252.0,0.4956269680482726,0.5254121548532377,0.5160899531068297,99.12539360965452,105.08243097064755,103.21799062136594,0.30055527054189635,0.3388166391439185,0.3000103255514825,0.5210155540667188,0.5532301770269622,0.5477319833198373,0.47229533439166393,0.5056473636895595,0.49539337868678346,0.3900023720075505,0.4374595565644499,0.4338380022748307,0.04995016949519903,0.060476963943752765,0.03427420794957259,8.717938800576362e-06,1.2232676434986231e-05,4.103506250009835e-06,0.8203894000123527,0.8509316637618216,0.7364593171090238,0.09680214219692825,0.102619561494773,0.10079881896617768
room_class,32,1.25,rot90_flip,ollama_llm,4,21466,446,0.431018211754312,96.0,0.6295246104257357,0.6395204117284032,0.6522129005661803,125.90492208514716,127.90408234568064,130.44258011323603,0.4230731598710957,0.43177698094068717,0.44109159398830416,0.6480315919319372,0.6552788040192798,0.6636775855979469,0.5803727790695339,0.586980595817139,0.5948773688583358,0.6099320299240502,0.6295711365474939,0.6256409349794119,0.06812496798352786,0.0722643949545857,0.07596233055532091,0.006393393078117835,0.006506129645679553,0.006347984621596404,1.4877785497429687,1.4366345296225012,1.3945301358417526,0.12295402547377653,0.12490633041570375,0.12738533214183206
room_class,32,1.25,rot90_flip,relaxed,7,43724,573,0.8779390799751019,61.0,0.6906310542334235,0.6918012217147521,0.6628268707309539,138.1262108466847,138.36024434295044,132.56537414619078,0.49358630916804835,0.48925675087136716,0.4456746290419187,0.6989830147171123,0.6958866257436539,0.6675886675505499,0.6356734981756571,0.6325552187479838,0.6091574639255856,0.6196173351695125,0.6099262606245394,0.5998850914537226,0.08969100926888432,0.09122985004011583,0.08248831828687804,0.0017907849225166932,0.0012310229824717498,0.0003818422092726079,1.1353010481283279,1.1575004557228357,1.1591666067558113,0.13488887777996553,0.13511742611616254,0.12945837318963943
room_class,32,1.25,rot90_flip,diffuscene,3,15166,2572,0.30451980804369216,860.0,0.8398871559250837,0.8451493044842245,0.848669009953853,167.97743118501677,169.02986089684492,169.73380199077062,0.7117717113578965,0.7171334956713068,0.7050085065675089,0.8433526522904895,0.8465823471055461,0.839647846759288,0.7858911394705155,0.7899687755229041,0.7793664796835597,0.8970361354546931,0.9069791136321165,0.8958308366446669,0.1263253102257356,0.1399106627493454,0.13637430029930003,2.358787020748357e-05,3.079387227105376e-05,3.127656273528519e-05,1.7341985249724556,1.5668293632897363,1.1341285649483324,0.16404046014161794,0.16506822353207512,0.16575566600661193
