grouping,grid,sigma,augmentation,method,n_groups,total_ref_objects_in_compared_groups,total_method_objects_in_compared_groups,coverage_ref_weight,median_method_objects_per_group,weighted_tv_distance,mean_tv_distance,median_tv_distance,weighted_l1_percent_points,mean_l1_percent_points,median_l1_percent_points,weighted_js_divergence,mean_js_divergence,median_js_divergence,weighted_js_distance,mean_js_distance,median_js_distance,weighted_hellinger_distance,mean_hellinger_distance,median_hellinger_distance,weighted_cosine_distance,mean_cosine_distance,median_cosine_distance,weighted_sliced_wasserstein,mean_sliced_wasserstein,median_sliced_wasserstein,weighted_centroid_shift,mean_centroid_shift,median_centroid_shift,weighted_max_abs_diff_pp,mean_max_abs_diff_pp,median_max_abs_diff_pp,weighted_mean_abs_diff_pp,mean_mean_abs_diff_pp,median_mean_abs_diff_pp
class,20,1.25,rot90_flip,infinigen,7,39219,7438,0.7011029871824667,450.0,0.3231348432446121,0.29150195457913336,0.3228587424962983,64.62696864892243,58.300390915826675,64.57174849925966,0.11629564938131182,0.10312413529761387,0.12735404946876017,0.33198724857489537,0.30669442525073787,0.3568669912849326,0.28326694664322455,0.2628698597491596,0.30320453797142444,0.21580794135015782,0.17740998222873966,0.17441366172617567,0.04865896427713795,0.03914453912981548,0.04024894999256191,1.9974396070793268e-05,1.9124668247021525e-05,7.769509875432512e-06,0.6595908162619382,0.5783674643778655,0.6792362353562578,0.16156742162230606,0.14575097728956668,0.16142937124814913
class,20,1.25,rot90_flip,retrieval,9,55939,3633,1.0,336.0,0.33874115664410565,0.3674519679597909,0.36948330251734374,67.7482313288211,73.49039359195817,73.89666050346874,0.1561996334872563,0.17692498569525356,0.16789637513864478,0.3760028485114639,0.40198555040169004,0.40975160175238456,0.3329986831436528,0.35636689133989674,0.35444579308038643,0.23777155408599038,0.2629474547684993,0.32373534787608005,0.0450520415410145,0.04391861150592771,0.035240764670578587,1.1825078988861544e-05,1.6683054514353805e-05,3.1533099093305315e-06,0.7623673216599937,0.8097555228138117,0.7669646495989257,0.1693705783220528,0.1837259839798954,0.18474165125867184
class,20,1.25,rot90_flip,cube,9,55939,7477,1.0,1083.0,0.3525809240555029,0.3629272547825103,0.37455447540180464,70.51618481110057,72.58545095650207,74.91089508036092,0.1572755456875385,0.16527918220381116,0.14657008854678993,0.3619643053905957,0.3765773110407862,0.38284473164298594,0.31174043187143097,0.32656948570072936,0.3253585651192659,0.2770842516344621,0.27822129871517665,0.23819717412625274,0.058433335976871864,0.05549924765961448,0.048745222676737435,3.476796869165022e-05,8.521004529785496e-05,3.1533099093305315e-06,0.6862493113197583,0.751841026789126,0.7168489825721626,0.17629046202775142,0.18146362739125513,0.1872772377009023
class,20,1.25,rot90_flip,ollama_llm,6,35796,1085,0.6399113319866283,155.5,0.4433271505788535,0.41301886186634224,0.4203014288520251,88.66543011577072,82.60377237326844,84.06028577040502,0.21645349657230967,0.1884165101383951,0.18374112709199542,0.44730176740920324,0.4190373404111903,0.42615190825659455,0.38444117867483746,0.35874513910726596,0.36382512253922106,0.400353549219404,0.3651682277010028,0.3852408760257003,0.07210856720881642,0.0646387759660849,0.06154639477573303,0.004143621971183463,0.00422701765924917,0.003680558659269025,0.7542682631399619,0.736013073449517,0.7706550010773784,0.2216635752894268,0.20650943093317117,0.21015071442601255
class,20,1.25,rot90_flip,random,3,24010,171,0.42921754053522587,58.0,0.5080685271517985,0.4945242572708158,0.5081351279859809,101.61370543035974,98.90485145416318,101.6270255971962,0.27741518085650896,0.2698851138415333,0.25862629813898436,0.5198292939418876,0.5105520430526529,0.5085531419025787,0.4534264887187107,0.4466180542844256,0.43694954019291116,0.4750911560302852,0.45417231216840026,0.4720047096536485,0.08391008369538656,0.079469436586725,0.09135996638556158,1.9892032122188368e-05,2.9356723068595102e-05,1.6458805211525798e-06,0.8661165425457038,0.8728258233327137,0.7840269824533329,0.2540342635758993,0.24726212863540795,0.25406756399299046
class,20,1.25,rot90_flip,relaxed,9,55939,1354,1.0,134.0,0.5590820749157109,0.5547923749278515,0.5668332577741888,111.8164149831422,110.95847498557029,113.36665155483774,0.32538602417022516,0.3210652060003105,0.3095918557608064,0.5631807515536397,0.5609740256347411,0.5564097912157966,0.49524931476752143,0.49623059109302214,0.47981523351221533,0.4867330437332217,0.4552911291784161,0.5068958830927172,0.08197553335057478,0.08079250522696833,0.07775787777598428,0.0014776396015110781,0.0008726818802639801,0.00043339749886830726,1.3725330279368895,1.3233343347930224,1.2806332966032885,0.27954103745785547,0.27739618746392575,0.28341662888709435
class,20,1.25,rot90_flip,diffuscene,5,40997,2739,0.7328876097177283,674.0,0.583336197613729,0.6025413141596714,0.6156286971863854,116.6672395227458,120.50826283193427,123.12573943727708,0.3718470424448588,0.39789501503593555,0.393838924858919,0.6005983043805088,0.6189476221123817,0.6275658729240453,0.5373160460232173,0.5564649927024296,0.5538273830908221,0.5118090425773961,0.5522452499429458,0.5862117626586631,0.07729964160922896,0.09270451435886522,0.06010442242937287,1.5125517730375266e-05,2.3192712368936132e-05,7.769509875276448e-06,1.8430400313719886,1.9468516707195291,1.5938418663558567,0.2916680988068645,0.3012706570798357,0.3078143485931927
